,metro,price,minutes,way,provider,fee_percent,views,storey,storeys,rooms,total_area,living_area,kitchen_area,living_total_ratio,rooms_per_total_area,storey_ratio
0,Akademicheskaia,95000,10,walk,agency,0,36,7.0,25.0,3,120.0,53.0,17.0,0.44166666666666665,0.025,0.28
1,Dmitrovskaia,38000,10,walk,realtor,50,26,7.0,9.0,1,34.0,18.0,12.0,0.5294117647058824,0.029411764705882353,0.7777777777777778
2,Novye Cheremushki,70000,5,walk,agency,50,663,9.0,17.0,2,60.0,32.0,12.0,0.5333333333333333,0.03333333333333333,0.5294117647058824
3,Krasnopresnenskaia,100000,3,walk,realtor,0,2192,5.0,5.0,3,74.0,30.0,30.0,0.40540540540540543,0.04054054054054054,1.0
4,Domodedovskaia,73000,17,walk,agency,40,92,10.0,14.0,3,71.0,60.0,10.0,0.8450704225352113,0.04225352112676056,0.7142857142857143
5,Taganskaia,60000,10,walk,realtor,50,995,3.0,5.0,3,75.0,48.0,12.0,0.64,0.04,0.6
6,Sukharevskaia,185000,5,walk,agency,0,92,7.0,9.0,3,79.0,50.0,12.0,0.6329113924050633,0.0379746835443038,0.7777777777777778
7,Sukharevskaia,185000,5,walk,agency,0,100,8.0,9.0,3,76.0,49.0,12.0,0.6447368421052632,0.039473684210526314,0.8888888888888888
8,Mitino,50000,3,transport,agency,0,540,4.0,4.0,3,85.0,66.0,15.0,0.7764705882352941,0.03529411764705882,1.0
9,Govorovo,65000,6,walk,realtor,50,3378,13.0,14.0,2,68.0,40.0,12.0,0.5882352941176471,0.029411764705882353,0.9285714285714286
10,Baumanskaia,80000,13,walk,agency,50,154,5.0,8.0,2,50.0,30.0,6.0,0.6,0.04,0.625
11,Michurinskii prospekt,150000,5,walk,realtor,0,79,17.0,24.0,4,130.0,70.0,15.0,0.5384615384615384,0.03076923076923077,0.7083333333333334
12,Khovrino,47000,10,walk,realtor,50,768,6.0,17.0,2,55.0,32.0,9.0,0.5818181818181818,0.03636363636363636,0.35294117647058826
13,Planernaia,39000,10,walk,realtor,50,866,8.0,9.0,1,33.0,18.0,7.0,0.5454545454545454,0.030303030303030304,0.8888888888888888
14,Planernaia,35000,15,walk,realtor,50,770,6.0,9.0,1,34.0,17.0,6.0,0.5,0.029411764705882353,0.6666666666666666
15,Riazanskii prospekt,40000,5,walk,realtor,50,480,9.0,12.0,1,35.0,20.0,10.0,0.5714285714285714,0.02857142857142857,0.75
16,VDNKh,40000,5,transport,realtor,50,391,10.0,16.0,1,35.0,19.0,10.0,0.5428571428571428,0.02857142857142857,0.625
17,Medvedkovo,32000,15,walk,realtor,50,515,1.0,12.0,1,38.0,19.0,7.0,0.5,0.02631578947368421,0.08333333333333333
18,Medvedkovo,45000,10,walk,realtor,50,295,3.0,9.0,2,45.0,30.0,6.0,0.6666666666666666,0.044444444444444446,0.3333333333333333
19,Medvedkovo,35000,10,walk,realtor,50,259,9.0,14.0,1,39.0,18.0,10.0,0.46153846153846156,0.02564102564102564,0.6428571428571429
20,Khovrino,38000,7,walk,realtor,50,263,6.0,9.0,1,33.0,17.0,6.0,0.5151515151515151,0.030303030303030304,0.6666666666666666
21,Babushkinskaia,60000,16,walk,agency,70,162,5.0,5.0,3,60.0,38.0,6.0,0.6333333333333333,0.05,1.0
22,Novye Cheremushki,24000,5,walk,realtor,40,227,2.0,17.0,1,39.0,21.0,11.0,0.5384615384615384,0.02564102564102564,0.11764705882352941
23,Preobrazhenskaia ploshchad,22000,5,walk,realtor,50,113,3.0,9.0,1,48.0,22.0,11.0,0.4583333333333333,0.020833333333333332,0.3333333333333333
24,Liublino,26000,7,walk,realtor,50,106,2.0,5.0,1,46.0,21.0,12.0,0.45652173913043476,0.021739130434782608,0.4
25,Ulitca 1905 goda,26000,5,walk,realtor,50,87,6.0,17.0,1,48.0,21.0,13.0,0.4375,0.020833333333333332,0.35294117647058826
26,Pionerskaia,80000,5,walk,realtor,50,72,7.0,17.0,2,62.0,36.0,10.0,0.5806451612903226,0.03225806451612903,0.4117647058823529
27,Skhodnenskaia,37000,15,walk,realtor,50,110,8.0,12.0,1,40.0,21.0,9.0,0.525,0.025,0.6666666666666666
28,Petrovskii park,30000,7,transport,realtor,50,185,8.0,9.0,1,35.0,16.0,9.0,0.45714285714285713,0.02857142857142857,0.8888888888888888
29,Altufevo,165000,20,walk,realtor,0,95,2.0,3.0,5,270.0,150.0,20.0,0.5555555555555556,0.018518518518518517,0.6666666666666666
30,Izmailovskaia,45000,15,walk,owner,0,1508,5.0,5.0,2,50.0,30.0,7.0,0.6,0.04,1.0
31,Vykhino,43000,10,walk,agency,50,412,5.0,12.0,1,37.0,13.0,9.0,0.35135135135135137,0.02702702702702703,0.4166666666666667
32,Vykhino,45000,15,walk,agency,50,1630,2.0,12.0,1,37.0,19.0,8.0,0.5135135135135135,0.02702702702702703,0.16666666666666666
33,Molodezhnaia,50000,10,walk,agency,50,419,1.0,5.0,1,35.0,17.0,10.0,0.4857142857142857,0.02857142857142857,0.2
34,Tushinskaia,65000,5,walk,realtor,50,611,2.0,17.0,2,70.0,36.0,12.0,0.5142857142857142,0.02857142857142857,0.11764705882352941
35,Vodnyi stadion,60000,10,walk,realtor,50,731,8.0,15.0,2,64.0,40.0,15.0,0.625,0.03125,0.5333333333333333
36,Planernaia,45000,10,walk,realtor,50,572,7.0,12.0,1,38.0,19.0,8.0,0.5,0.02631578947368421,0.5833333333333334
37,VDNKh,50000,10,walk,realtor,50,435,16.0,16.0,1,41.0,18.0,8.0,0.43902439024390244,0.024390243902439025,1.0
38,Alekseevskaia,50000,3,walk,realtor,50,542,5.0,12.0,1,33.0,19.0,5.0,0.5757575757575758,0.030303030303030304,0.4166666666666667
39,Sviblovo,40000,10,walk,realtor,50,593,14.0,14.0,2,38.0,24.0,6.0,0.631578947368421,0.05263157894736842,1.0
40,Sviblovo,38000,15,walk,realtor,50,493,3.0,5.0,1,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.01488498881017685,0.6
41,Rimskaia,55999,7,walk,realtor,99,399,6.0,17.0,1,40.0,21.0,10.0,0.525,0.025,0.35294117647058826
42,Okskaia,59999,7,walk,realtor,69,138,3.0,33.0,1,26.0,17.0,5.0,0.6538461538461539,0.038461538461538464,0.09090909090909091
43,Voikovskaia,55000,10,transport,owner,0,21,3.0,17.0,2,55.0,28.0,12.0,0.509090909090909,0.03636363636363636,0.17647058823529413
44,Rasskazovka,47000,15,walk,realtor,30,77,22.0,22.0,1,40.0,23.0,9.0,0.575,0.025,1.0
45,Okhotnyi riad,200000,8,walk,realtor,0,70,10.0,13.0,2,70.0,57.0,12.0,0.8142857142857143,0.02857142857142857,0.7692307692307693
46,Taganskaia,60000,15,walk,realtor,50,335,3.0,5.0,2,78.0,30.0,18.0,0.38461538461538464,0.02564102564102564,0.6
47,Solntcevo,43000,10,walk,owner,0,22,7.0,17.0,1,67.1817770743839,67.18177707438392,67.18177707438392,1.0000000000000002,0.01488498881017685,0.4117647058823529
48,Michurinskii prospekt,90000,10,walk,agency,50,13,14.0,21.0,2,75.0,36.0,13.0,0.48,0.02666666666666667,0.6666666666666666
49,Piatnitckoe shosse,40000,15,transport,owner,0,18,5.0,17.0,2,55.0,45.0,10.0,0.8181818181818182,0.03636363636363636,0.29411764705882354
50,Piatnitckoe shosse,50000,25,transport,realtor,50,298,9.0,17.0,3,87.0,61.0,6.0,0.7011494252873564,0.034482758620689655,0.5294117647058824
51,Piatnitckoe shosse,23000,26,transport,agency,80,41,10.0,25.0,1,42.0,36.0,6.0,0.8571428571428571,0.023809523809523808,0.4
52,Okhotnyi riad,95000,5,walk,realtor,0,12,2.0,5.0,2,39.0,26.0,6.0,0.6666666666666666,0.05128205128205128,0.4
53,Semenovskaia,40000,5,walk,realtor,25,9,1.0,4.0,1,38.0,25.0,5.0,0.6578947368421053,0.02631578947368421,0.25
